dataset,fold,variant,variant_label,epoch_global,stage,stage_boundary_marker,train_total_loss,train_pred_loss,val_loss,val_acc,val_f1,primary_selected,comp_selected,mask_overlap,rule_count,seed,n_train,n_val,n_features,n_outputs,task_kind,elapsed_seconds
Gisette,1,sequential_freeze,Sequential freeze: primary then complementary,49,Primary hard,,0.0009812092299883565,0.0009812092299883565,0.08019961953163147,0.975,0.9748743718592965,2396.0,2604.0,0.0,18.0,42001,4800,1200,5000,1,binary,40.26514967996627
Gisette,1,sequential_freeze,Sequential freeze: primary then complementary,50,Primary hard,,0.000992556035829087,0.000992556035829087,0.07907942920923233,0.9733333333333334,0.9731993299832495,2396.0,2604.0,0.0,18.0,42001,4800,1200,5000,1,binary,41.17762722633779
Gisette,1,sequential_freeze,Sequential freeze: primary then complementary,51,Stage2 soft,Stage2 soft,0.0014326242186749976,0.0011723386651525895,0.07898778947691122,0.9733333333333334,0.9732888146911519,2396.0,2064.0,0.0,18.0,42001,4800,1200,5000,1,binary,42.687440616078675
Gisette,1,sequential_freeze,Sequential freeze: primary then complementary,52,Stage2 soft,,0.0011974444504206378,0.0009372659089664618,0.08108004783590635,0.9725,0.9723849372384937,2396.0,451.0,0.0,18.0,42001,4800,1200,5000,1,binary,44.088956085033715
Gisette,1,sequential_freeze,Sequential freeze: primary then complementary,53,Stage2 soft,,0.0011957876135905584,0.0009354363715586563,0.08054227478802205,0.9733333333333334,0.9732441471571907,2396.0,1787.0,0.0,18.0,42001,4800,1200,5000,1,binary,45.569590599276125
Gisette,1,sequential_freeze,Sequential freeze: primary then complementary,54,Stage2 soft,,0.0012056226236745716,0.0009452836324150364,0.0792204649746418,0.975,0.9748743718592965,2396.0,555.0,0.0,18.0,42001,4800,1200,5000,1,binary,47.01195746101439
Gisette,1,sequential_freeze,Sequential freeze: primary then complementary,55,Stage2 soft,,0.0011843562048549454,0.0009240707429125905,0.07779746254285176,0.9741666666666666,0.9741019214703425,2396.0,1515.0,0.0,18.0,42001,4800,1200,5000,1,binary,48.428770147264004
Gisette,1,sequential_freeze,Sequential freeze: primary then complementary,56,Stage2 soft,,0.0011774380551651121,0.0009171038571124275,0.0794794765363137,0.9741666666666666,0.9740585774058578,2396.0,721.0,0.0,18.0,42001,4800,1200,5000,1,binary,49.87851168960333
Gisette,1,sequential_freeze,Sequential freeze: primary then complementary,57,Stage2 soft,,0.0011715946594874065,0.0009112746369404097,0.07745270962516466,0.9733333333333334,0.9731993299832495,2396.0,1359.0,0.0,18.0,42001,4800,1200,5000,1,binary,51.395375677384436
Gisette,1,sequential_freeze,Sequential freeze: primary then complementary,58,Stage2 soft,,0.0011605546638990443,0.0009002074211214979,0.07854976415634156,0.9733333333333334,0.9732888146911519,2396.0,751.0,0.0,18.0,42001,4800,1200,5000,1,binary,52.81922295037657
Gisette,1,sequential_freeze,Sequential freeze: primary then complementary,59,Stage2 soft,,0.0011600358287493387,0.0008997047157026828,0.07929423456390698,0.9741666666666666,0.9740585774058578,2396.0,1149.0,0.0,18.0,42001,4800,1200,5000,1,binary,54.351634154096246
Gisette,1,sequential_freeze,Sequential freeze: primary then complementary,60,Stage2 soft,,0.0011523316086580356,0.0008919997513294219,0.07890900293986003,0.9741666666666666,0.9740585774058578,2396.0,692.0,0.0,18.0,42001,4800,1200,5000,1,binary,55.844830287620425
Gisette,1,sequential_freeze,Sequential freeze: primary then complementary,61,Stage2 soft,,0.0011502352139602105,0.0008898995203586916,0.0784845606982708,0.975,0.9749163879598662,2396.0,690.0,0.0,18.0,42001,4800,1200,5000,1,binary,57.291130495257676
Gisette,1,sequential_freeze,Sequential freeze: primary then complementary,62,Stage2 soft,,0.0011631097784265876,0.0009027738892473281,0.07955015428364277,0.9733333333333334,0.9732441471571907,2396.0,717.0,0.0,18.0,42001,4800,1200,5000,1,binary,58.84823966212571
Gisette,1,sequential_freeze,Sequential freeze: primary then complementary,63,Stage2 soft,,0.0011584341789906223,0.0008980944356881082,0.0782354562729597,0.9725,0.9724310776942355,2396.0,667.0,0.0,18.0,42001,4800,1200,5000,1,binary,60.24404295627028
