dataset,fold,tau,n_eval,input_dim,task_kind,payload_path,lambda_base_s1,lambda_resid_s2,base_selected,residual_self_selected,residual_effective_selected,full_selected,primary_complementary_overlap,primary_residual_self_overlap,base_acc,base_f1,residual_acc,residual_f1,full_acc,full_f1
Spambase,1,0.5,921,57,binary,/home/harp3133t/Research/03_Research/GH-ANFIS_E404/hyper_parameter/cv_weights/Spambase__no_mi/fold_01/gh_anfis.pt,0.001,0.001,25,53,28,53,0,25,0.9185667752442996,0.8959778085991679,0.756786102062975,0.712082262210797,0.9294245385450597,0.9105914718019257
Spambase,1,0.6,921,57,binary,/home/harp3133t/Research/03_Research/GH-ANFIS_E404/hyper_parameter/cv_weights/Spambase__no_mi/fold_01/gh_anfis.pt,0.001,0.001,21,9,9,30,0,0,0.9207383279044516,0.8984700973574409,0.6568946796959826,0.5226586102719033,0.9239956568946797,0.901685393258427
Spambase,1,0.7,921,57,binary,/home/harp3133t/Research/03_Research/GH-ANFIS_E404/hyper_parameter/cv_weights/Spambase__no_mi/fold_01/gh_anfis.pt,0.001,0.001,18,0,0,18,0,0,0.8349619978284474,0.819047619047619,0.6058631921824105,0.0,0.8577633007600435,0.8392638036809816
Spambase,2,0.3,920,57,binary,/home/harp3133t/Research/03_Research/GH-ANFIS_E404/hyper_parameter/cv_weights/Spambase__no_mi/fold_02/gh_anfis.pt,0.001,0.001,42,57,15,57,0,42,0.9021739130434783,0.8828125,0.4391304347826087,0.340153452685422,0.9141304347826087,0.8945260347129506
Spambase,2,0.4,920,57,binary,/home/harp3133t/Research/03_Research/GH-ANFIS_E404/hyper_parameter/cv_weights/Spambase__no_mi/fold_02/gh_anfis.pt,0.001,0.001,33,56,23,56,0,33,0.9163043478260869,0.8963660834454913,0.716304347826087,0.6244604316546762,0.9184782608695652,0.8993288590604027
Spambase,2,0.5,920,57,binary,/home/harp3133t/Research/03_Research/GH-ANFIS_E404/hyper_parameter/cv_weights/Spambase__no_mi/fold_02/gh_anfis.pt,0.001,0.001,22,51,29,51,0,22,0.9239130434782609,0.9041095890410958,0.7739130434782608,0.7062146892655368,0.9293478260869565,0.9115646258503401
Spambase,2,0.6,920,57,binary,/home/harp3133t/Research/03_Research/GH-ANFIS_E404/hyper_parameter/cv_weights/Spambase__no_mi/fold_02/gh_anfis.pt,0.001,0.001,21,8,8,29,0,0,0.9173913043478261,0.8972972972972973,0.6804347826086956,0.5258064516129032,0.9282608695652174,0.9098360655737705
Spambase,2,0.7,920,57,binary,/home/harp3133t/Research/03_Research/GH-ANFIS_E404/hyper_parameter/cv_weights/Spambase__no_mi/fold_02/gh_anfis.pt,0.001,0.001,16,0,0,16,0,0,0.9021739130434783,0.8787061994609164,0.6054347826086957,0.0,0.8967391304347826,0.8671328671328671
Spambase,3,0.3,920,57,binary,/home/harp3133t/Research/03_Research/GH-ANFIS_E404/hyper_parameter/cv_weights/Spambase__no_mi/fold_03/gh_anfis.pt,0.001,0.001,39,57,18,57,0,39,0.9293478260869565,0.912043301759134,0.5532608695652174,0.22889305816135083,0.9315217391304348,0.912621359223301
Spambase,3,0.4,920,57,binary,/home/harp3133t/Research/03_Research/GH-ANFIS_E404/hyper_parameter/cv_weights/Spambase__no_mi/fold_03/gh_anfis.pt,0.001,0.001,34,57,23,57,0,34,0.9304347826086956,0.9135135135135135,0.6282608695652174,0.4337748344370861,0.933695652173913,0.9160935350756534
