dataset,mode,fold,model,n_features,n_train,n_val,task_kind,dependency,tuning_budget,acc,precision,recall,f1,inner_f1,inner_acc,best_params_json,status,error,runtime_sec
Vowel,no_mi,1,LightGBM,29,792,198,multiclass,lightgbm,2 configs selected by inner 20% stratified validation; refit on each outer-fold train split,0.9494949494949495,0.9514012303485987,0.9494949494949495,0.9485343426132901,0.8860837226232741,0.8867924528301887,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.03, ""n_estimators"": 500, ""num_leaves"": 15, ""subsample"": 0.9}",ok,,3.2039675880223513
Vowel,no_mi,1,CatBoost,29,792,198,multiclass,catboost,2 configs selected by inner 20% stratified validation; refit on each outer-fold train split,0.9090909090909091,0.9102529049897471,0.9090909090909091,0.9081452864347601,0.8911237636271042,0.8930817610062893,"{""depth"": 4, ""iterations"": 300, ""l2_leaf_reg"": 3.0, ""learning_rate"": 0.05}",ok,,2.496280502527952
Vowel,no_mi,1,EBM,29,792,198,multiclass,interpret,2 configs selected by inner 20% stratified validation; refit on each outer-fold train split,0.898989898989899,0.9027873180701776,0.898989898989899,0.8980030092933319,0.8670627142081273,0.8679245283018868,"{""early_stopping_rounds"": 50, ""interactions"": 0, ""learning_rate"": 0.03, ""max_bins"": 64, ""max_rounds"": 1000, ""outer_bags"": 4}",ok,,8.44390581175685
Vowel,no_mi,2,RandomForest,29,792,198,multiclass,scikit-learn,2 configs selected by inner 20% stratified validation; refit on each outer-fold train split,0.9848484848484849,0.9856459330143541,0.9848484848484849,0.9848367848367848,0.9292907951921112,0.9308176100628931,"{""class_weight"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""n_estimators"": 300}",ok,,1.4006969891488552
Vowel,no_mi,2,HistGradientBoosting,29,792,198,multiclass,scikit-learn,2 configs selected by inner 20% stratified validation; refit on each outer-fold train split,0.8838383838383839,0.8893122958912432,0.8838383838383839,0.8825703925056586,0.9116809215106766,0.9119496855345912,"{""l2_regularization"": 0.1, ""learning_rate"": 0.05, ""max_iter"": 250, ""max_leaf_nodes"": 31}",ok,,4.344010964035988
Vowel,no_mi,2,XGBoost,29,792,198,multiclass,xgboost,2 configs selected by inner 20% stratified validation; refit on each outer-fold train split,0.8838383838383839,0.8886128838950399,0.8838383838383839,0.8830920598335458,0.8868011211684477,0.8867924528301887,"{""colsample_bytree"": 0.9, ""learning_rate"": 0.05, ""max_depth"": 4, ""n_estimators"": 300, ""subsample"": 0.9}",ok,,2.4995423518121243
Vowel,no_mi,2,LightGBM,29,792,198,multiclass,lightgbm,2 configs selected by inner 20% stratified validation; refit on each outer-fold train split,0.898989898989899,0.9042047266927649,0.898989898989899,0.8982750962204944,0.9183094633848793,0.9182389937106918,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.03, ""n_estimators"": 500, ""num_leaves"": 15, ""subsample"": 0.9}",ok,,3.2114810701459646
Vowel,no_mi,2,CatBoost,29,792,198,multiclass,catboost,2 configs selected by inner 20% stratified validation; refit on each outer-fold train split,0.9242424242424242,0.928543897622845,0.9242424242424242,0.9245950251579297,0.8538000160346298,0.8553459119496856,"{""depth"": 4, ""iterations"": 300, ""l2_leaf_reg"": 3.0, ""learning_rate"": 0.05}",ok,,2.5198824210092425
Vowel,no_mi,2,EBM,29,792,198,multiclass,interpret,2 configs selected by inner 20% stratified validation; refit on each outer-fold train split,0.898989898989899,0.9031205464641997,0.898989898989899,0.8970173408570538,0.8866884622724817,0.8867924528301887,"{""early_stopping_rounds"": 50, ""interactions"": 0, ""learning_rate"": 0.02, ""max_bins"": 128, ""max_rounds"": 2000, ""outer_bags"": 4}",ok,,10.568752634339035
Vowel,no_mi,3,RandomForest,29,792,198,multiclass,scikit-learn,2 configs selected by inner 20% stratified validation; refit on each outer-fold train split,0.9747474747474747,0.9786863853849499,0.9747474747474747,0.9744910494910495,0.9430386704884575,0.9433962264150944,"{""class_weight"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""n_estimators"": 300}",ok,,1.4079326028004289
Vowel,no_mi,3,HistGradientBoosting,29,792,198,multiclass,scikit-learn,2 configs selected by inner 20% stratified validation; refit on each outer-fold train split,0.9393939393939394,0.9423038433874348,0.9393939393939394,0.9391152477276878,0.9002865104508441,0.89937106918239,"{""l2_regularization"": 0.0, ""learning_rate"": 0.1, ""max_iter"": 150, ""max_leaf_nodes"": 31}",ok,,2.9017790341749787
Vowel,no_mi,3,XGBoost,29,792,198,multiclass,xgboost,2 configs selected by inner 20% stratified validation; refit on each outer-fold train split,0.9292929292929293,0.9335320912474023,0.9292929292929293,0.9291044991720476,0.9122770797430797,0.9119496855345912,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.03, ""max_depth"": 3, ""n_estimators"": 500, ""subsample"": 0.9}",ok,,2.6912516402080655
Vowel,no_mi,3,LightGBM,29,792,198,multiclass,lightgbm,2 configs selected by inner 20% stratified validation; refit on each outer-fold train split,0.9444444444444444,0.9488058381247236,0.9444444444444444,0.9439002780334049,0.9306703973314673,0.9308176100628931,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.03, ""n_estimators"": 500, ""num_leaves"": 15, ""subsample"": 0.9}",ok,,3.167693128809333
Vowel,no_mi,3,CatBoost,29,792,198,multiclass,catboost,2 configs selected by inner 20% stratified validation; refit on each outer-fold train split,0.8737373737373737,0.8763291361201578,0.8737373737373737,0.873321401157033,0.9123921488855272,0.9119496855345912,"{""depth"": 4, ""iterations"": 300, ""l2_leaf_reg"": 3.0, ""learning_rate"": 0.05}",ok,,2.5935984198004007
Vowel,no_mi,3,EBM,29,792,198,multiclass,interpret,2 configs selected by inner 20% stratified validation; refit on each outer-fold train split,0.8838383838383839,0.8936095099196703,0.8838383838383839,0.8809113533993916,0.8684496620996295,0.8679245283018868,"{""early_stopping_rounds"": 50, ""interactions"": 0, ""learning_rate"": 0.03, ""max_bins"": 64, ""max_rounds"": 1000, ""outer_bags"": 4}",ok,,8.411394915543497
Vowel,no_mi,4,RandomForest,29,792,198,multiclass,scikit-learn,2 configs selected by inner 20% stratified validation; refit on each outer-fold train split,0.9848484848484849,0.9853801169590644,0.9848484848484849,0.984840684840685,0.962443042230507,0.9622641509433962,"{""class_weight"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""n_estimators"": 300}",ok,,1.42756471876055
Vowel,no_mi,4,HistGradientBoosting,29,792,198,multiclass,scikit-learn,2 configs selected by inner 20% stratified validation; refit on each outer-fold train split,0.9242424242424242,0.9279040962477496,0.9242424242424242,0.9237338636156536,0.8935189784337333,0.8930817610062893,"{""l2_regularization"": 0.0, ""learning_rate"": 0.1, ""max_iter"": 150, ""max_leaf_nodes"": 31}",ok,,3.3677748115733266
Vowel,no_mi,4,XGBoost,29,792,198,multiclass,xgboost,2 configs selected by inner 20% stratified validation; refit on each outer-fold train split,0.9191919191919192,0.9229513176881597,0.9191919191919192,0.9193309765502279,0.8686452505370801,0.8679245283018868,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.03, ""max_depth"": 3, ""n_estimators"": 500, ""subsample"": 0.9}",ok,,2.716619255952537
Vowel,no_mi,4,LightGBM,29,792,198,multiclass,lightgbm,2 configs selected by inner 20% stratified validation; refit on each outer-fold train split,0.9545454545454546,0.9563530037214247,0.9545454545454546,0.9545024820566617,0.9181407920957804,0.9182389937106918,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.03, ""n_estimators"": 500, ""num_leaves"": 15, ""subsample"": 0.9}",ok,,3.2090708054602146
Vowel,no_mi,4,CatBoost,29,792,198,multiclass,catboost,2 configs selected by inner 20% stratified validation; refit on each outer-fold train split,0.9040404040404041,0.9056574144809437,0.9040404040404041,0.903211305378488,0.8552085593938177,0.8553459119496856,"{""depth"": 4, ""iterations"": 300, ""l2_leaf_reg"": 3.0, ""learning_rate"": 0.05}",ok,,2.5178495896980166
Vowel,no_mi,4,EBM,29,792,198,multiclass,interpret,2 configs selected by inner 20% stratified validation; refit on each outer-fold train split,0.9191919191919192,0.9229629331796514,0.9191919191919192,0.9187822095716832,0.890132543479029,0.8930817610062893,"{""early_stopping_rounds"": 50, ""interactions"": 0, ""learning_rate"": 0.03, ""max_bins"": 64, ""max_rounds"": 1000, ""outer_bags"": 4}",ok,,8.936150311492383
Vowel,no_mi,5,RandomForest,29,792,198,multiclass,scikit-learn,2 configs selected by inner 20% stratified validation; refit on each outer-fold train split,0.9696969696969697,0.9727272727272727,0.9696969696969697,0.9696031522656909,0.9498482538897813,0.949685534591195,"{""class_weight"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""n_estimators"": 300}",ok,,1.409560950472951
Vowel,no_mi,5,HistGradientBoosting,29,792,198,multiclass,scikit-learn,2 configs selected by inner 20% stratified validation; refit on each outer-fold train split,0.9292929292929293,0.9334787503518154,0.9292929292929293,0.9296823698737574,0.9242169143682354,0.9245283018867925,"{""l2_regularization"": 0.0, ""learning_rate"": 0.1, ""max_iter"": 150, ""max_leaf_nodes"": 31}",ok,,2.494051344692707
Vowel,no_mi,5,XGBoost,29,792,198,multiclass,xgboost,2 configs selected by inner 20% stratified validation; refit on each outer-fold train split,0.9343434343434344,0.9442836339861511,0.9343434343434344,0.9330058796892545,0.887946313081561,0.8867924528301887,"{""colsample_bytree"": 0.9, ""learning_rate"": 0.05, ""max_depth"": 4, ""n_estimators"": 300, ""subsample"": 0.9}",ok,,2.4967804104089737
Vowel,no_mi,5,LightGBM,29,792,198,multiclass,lightgbm,2 configs selected by inner 20% stratified validation; refit on each outer-fold train split,0.9494949494949495,0.9530303030303031,0.9494949494949495,0.9496530582654984,0.9183251054494261,0.9182389937106918,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.03, ""n_estimators"": 500, ""num_leaves"": 15, ""subsample"": 0.9}",ok,,3.201899064704776
Vowel,no_mi,5,CatBoost,29,792,198,multiclass,catboost,2 configs selected by inner 20% stratified validation; refit on each outer-fold train split,0.9090909090909091,0.9149637443895816,0.9090909090909091,0.90623424455806,0.8731626501055845,0.8742138364779874,"{""depth"": 4, ""iterations"": 300, ""l2_leaf_reg"": 3.0, ""learning_rate"": 0.05}",ok,,2.558505770750344
Vowel,no_mi,5,EBM,29,792,198,multiclass,interpret,2 configs selected by inner 20% stratified validation; refit on each outer-fold train split,0.9191919191919192,0.9267120970470253,0.9191919191919192,0.9189225483483857,0.8673034424519303,0.8679245283018868,"{""early_stopping_rounds"": 50, ""interactions"": 0, ""learning_rate"": 0.02, ""max_bins"": 128, ""max_rounds"": 2000, ""outer_bags"": 4}",ok,,9.879916188307106
